number_of_steps avg_p1 avg_p2
913000 1.0 -0.5
914000 0.5 0.0
915000 0.0 -0.25
916000 0.0 0.25
917000 0.5 0.0
918000 0.5 0.25
919000 1.0 0.0
920000 1.0 0.0
921000 1.0 0.0
922000 0.5 0.0
923000 1.0 0.5
924000 0.5 0.25
925000 1.0 0.25
926000 0.5 0.25
927000 0.5 0.0
928000 0.5 -0.25
929000 0.5 -0.5
930000 0.0 0.0
931000 0.5 0.5
932000 0.5 -0.25
933000 1.0 -0.5
934000 1.0 -0.25
935000 0.0 0.0
936000 -0.5 -0.25
937000 0.5 -0.75
938000 1.0 0.25
939000 0.5 0.5
940000 1.0 0.5
941000 1.0 -0.25
942000 1.0 -0.75
943000 0.0 0.5
944000 0.5 -0.25
945000 1.0 0.0
946000 0.5 0.25
947000 0.0 0.5
948000 1.0 0.5
949000 0.5 -0.5
950000 0.0 -0.5
951000 0.5 0.0
952000 -0.5 0.0
953000 -0.5 0.0
954000 0.5 0.0
955000 0.5 -0.25
956000 1.0 -0.25
957000 -0.5 0.25
958000 -0.5 -0.25
959000 1.0 0.0
960000 0.5 -0.5
961000 0.5 0.0
962000 1.0 0.0
963000 0.5 -0.5
964000 1.0 0.0
965000 1.0 0.25
966000 0.5 -0.25
967000 0.5 0.25
968000 1.0 -0.25
969000 0.0 -0.25
970000 0.5 0.25
971000 1.0 0.0
972000 0.5 0.75
973000 0.5 0.25
974000 0.0 0.0
975000 1.0 -0.5
976000 0.0 -0.5
977000 0.5 -0.5
978000 0.0 0.0
979000 0.5 -0.25
980000 1.0 -0.25
981000 0.0 -0.25
982000 -0.5 -0.25
983000 1.0 0.0
984000 0.5 -0.25
985000 1.0 0.25
986000 0.0 0.5
987000 0.5 0.25
988000 1.0 -0.5
989000 0.5 0.25
990000 1.0 0.0
991000 1.0 -0.25
992000 1.0 0.25
993000 0.5 0.25
994000 1.0 0.0
995000 0.0 0.0
996000 0.5 0.25
997000 1.0 0.75
998000 0.5 0.0
999000 1.0 -0.5
1000000 0.5 0.0
